	C	CTT	CRTT	CD	DC	DTT	DRTT	DD
0	0,125	0,125	0,125	0,125	0,125	0,125	0,125	0,125
1	0,12406015	0,124530075	0,124530075	0,125	0,125	0,125469925	0,125469925	0,12593985
2	0,123123007	0,124060319	0,124056789	0,124997641	0,12499705	0,125941454	0,125937898	0,126885843
3	0,122189029	0,123591176	0,123580606	0,124993358	0,124990696	0,126414152	0,126403421	0,127837563
4	0,121258674	0,123123097	0,123102	0,124987599	0,124980485	0,126887573	0,126865994	0,128794579
5	0,120332399	0,122656537	0,122621453	0,124980826	0,124965964	0,127361265	0,127325108	0,129756448
6	0,119410662	0,122191955	0,122139453	0,124973509	0,124946686	0,127834769	0,127780255	0,130722711
7	0,11849392	0,121729813	0,121656496	0,124966133	0,124922204	0,128307617	0,128230919	0,131692898
8	0,117582626	0,121270575	0,121173083	0,124959192	0,124892076	0,128779337	0,128676587	0,132666524
9	0,116677231	0,120814709	0,120689723	0,124953191	0,124855864	0,129249449	0,12911674	0,133643094
10	0,115778183	0,120362683	0,120206925	0,124948646	0,124813136	0,129717467	0,129550862	0,134622097
11	0,114885927	0,119914968	0,119725207	0,124946082	0,124763465	0,130182901	0,129978435	0,135603015
12	0,114000901	0,119472035	0,119245086	0,124946033	0,12470643	0,130645258	0,130398942	0,136585315
13	0,11312354	0,119034353	0,118767086	0,12494904	0,124641619	0,131104037	0,13081187	0,137568456
14	0,112254271	0,118602393	0,118291728	0,124955654	0,124568627	0,131558737	0,131216706	0,138551885
15	0,111393516	0,118176623	0,117819536	0,124966433	0,124487056	0,132008853	0,131612943	0,139535041
16	0,110541688	0,117757509	0,117351036	0,124981939	0,124396521	0,132453877	0,132000076	0,140517352
17	0,109699194	0,117345515	0,11688675	0,125002742	0,124296645	0,132893302	0,132377609	0,141498242
18	0,10886643	0,116941101	0,116427199	0,125029417	0,12418706	0,133326619	0,13274505	0,142477123
19	0,108043784	0,116544722	0,115972904	0,125062542	0,124067413	0,133753317	0,133101915	0,143453403
20	0,107231634	0,116156828	0,115524378	0,125102698	0,123937362	0,134172889	0,133447728	0,144426483
21	0,106430346	0,115777866	0,115082135	0,125150469	0,123796575	0,134584827	0,133782022	0,145395759
